city,year,weekofyear,total_cases
sj,2008,18,24
sj,2008,19,21
sj,2008,20,36
sj,2008,21,29
sj,2008,22,36
sj,2008,23,45
sj,2008,24,30
sj,2008,25,49
sj,2008,26,32
sj,2008,27,50
sj,2008,28,37
sj,2008,29,57
sj,2008,30,40
sj,2008,31,41
sj,2008,32,49
sj,2008,33,41
sj,2008,34,37
sj,2008,35,56
sj,2008,36,57
sj,2008,37,37
sj,2008,38,50
sj,2008,39,42
sj,2008,40,43
sj,2008,41,51
sj,2008,42,49
sj,2008,43,36
sj,2008,44,35
sj,2008,45,36
sj,2008,46,42
sj,2008,47,35
sj,2008,48,42
sj,2008,49,17
sj,2008,50,18
sj,2008,51,27
sj,2008,52,16
sj,2009,1,25
sj,2009,2,15
sj,2009,3,27
sj,2009,4,23
sj,2009,5,36
sj,2009,6,21
sj,2009,7,17
sj,2009,8,15
sj,2009,9,22
sj,2009,10,14
sj,2009,11,18
sj,2009,12,17
sj,2009,13,14
sj,2009,14,19
sj,2009,15,15
sj,2009,16,21
sj,2009,17,29
sj,2009,18,31
sj,2009,19,22
sj,2009,20,27
sj,2009,21,33
sj,2009,22,34
sj,2009,23,43
sj,2009,24,43
sj,2009,25,47
sj,2009,26,51
sj,2009,27,38
sj,2009,28,45
sj,2009,29,56
sj,2009,30,49
sj,2009,31,45
sj,2009,32,41
sj,2009,33,41
sj,2009,34,45
sj,2009,35,61
sj,2009,36,34
sj,2009,37,46
sj,2009,38,37
sj,2009,39,33
sj,2009,40,53
sj,2009,41,51
sj,2009,42,60
sj,2009,43,28
sj,2009,44,40
sj,2009,45,38
sj,2009,46,33
sj,2009,47,40
sj,2009,48,57
sj,2009,49,38
sj,2009,50,27
sj,2009,51,35
sj,2009,52,22
sj,2010,53,22
sj,2010,1,37
sj,2010,2,36
sj,2010,3,36
sj,2010,4,36
sj,2010,5,20
sj,2010,6,23
sj,2010,7,33
sj,2010,8,24
sj,2010,9,62
sj,2010,10,28
sj,2010,11,27
sj,2010,12,48
sj,2010,13,35
sj,2010,14,24
sj,2010,15,24
sj,2010,16,31
sj,2010,17,29
sj,2010,18,30
sj,2010,19,42
sj,2010,20,38
sj,2010,21,28
sj,2010,22,43
sj,2010,23,56
sj,2010,24,47
sj,2010,25,43
sj,2010,26,46
sj,2010,27,55
sj,2010,28,60
sj,2010,29,43
sj,2010,30,36
sj,2010,31,50
sj,2010,32,52
sj,2010,33,51
sj,2010,34,60
sj,2010,35,63
sj,2010,36,53
sj,2010,37,56
sj,2010,38,46
sj,2010,39,40
sj,2010,40,60
sj,2010,41,36
sj,2010,42,40
sj,2010,43,35
sj,2010,44,37
sj,2010,45,41
sj,2010,46,26
sj,2010,47,20
sj,2010,48,18
sj,2010,49,22
sj,2010,50,25
sj,2010,51,19
sj,2011,52,20
sj,2011,1,21
sj,2011,2,29
sj,2011,3,23
sj,2011,4,20
sj,2011,5,19
sj,2011,6,23
