city,year,weekofyear,total_cases
sj,2008,18,13
sj,2008,19,17
sj,2008,20,16
sj,2008,21,23
sj,2008,22,14
sj,2008,23,18
sj,2008,24,17
sj,2008,25,27
sj,2008,26,32
sj,2008,27,32
sj,2008,28,26
sj,2008,29,32
sj,2008,30,32
sj,2008,31,33
sj,2008,32,52
sj,2008,33,55
sj,2008,34,47
sj,2008,35,55
sj,2008,36,57
sj,2008,37,55
sj,2008,38,54
sj,2008,39,52
sj,2008,40,59
sj,2008,41,66
sj,2008,42,57
sj,2008,43,59
sj,2008,44,54
sj,2008,45,52
sj,2008,46,53
sj,2008,47,53
sj,2008,48,52
sj,2008,49,44
sj,2008,50,44
sj,2008,51,50
sj,2008,52,24
sj,2009,1,39
sj,2009,2,23
sj,2009,3,29
sj,2009,4,33
sj,2009,5,34
sj,2009,6,25
sj,2009,7,25
sj,2009,8,23
sj,2009,9,22
sj,2009,10,15
sj,2009,11,16
sj,2009,12,16
sj,2009,13,12
sj,2009,14,12
sj,2009,15,12
sj,2009,16,11
sj,2009,17,12
sj,2009,18,13
sj,2009,19,16
sj,2009,20,17
sj,2009,21,16
sj,2009,22,21
sj,2009,23,16
sj,2009,24,20
sj,2009,25,22
sj,2009,26,31
sj,2009,27,34
sj,2009,28,37
sj,2009,29,32
sj,2009,30,35
sj,2009,31,33
sj,2009,32,48
sj,2009,33,47
sj,2009,34,47
sj,2009,35,55
sj,2009,36,51
sj,2009,37,53
sj,2009,38,51
sj,2009,39,63
sj,2009,40,57
sj,2009,41,59
sj,2009,42,59
sj,2009,43,57
sj,2009,44,69
sj,2009,45,67
sj,2009,46,52
sj,2009,47,65
sj,2009,48,50
sj,2009,49,50
sj,2009,50,49
sj,2009,51,50
sj,2009,52,34
sj,2010,53,41
sj,2010,1,36
sj,2010,2,33
sj,2010,3,31
sj,2010,4,33
sj,2010,5,20
sj,2010,6,23
sj,2010,7,23
sj,2010,8,28
sj,2010,9,29
sj,2010,10,19
sj,2010,11,19
sj,2010,12,29
sj,2010,13,17
sj,2010,14,14
sj,2010,15,11
sj,2010,16,14
sj,2010,17,24
sj,2010,18,24
sj,2010,19,18
sj,2010,20,23
sj,2010,21,25
sj,2010,22,36
sj,2010,23,34
sj,2010,24,34
sj,2010,25,38
sj,2010,26,38
sj,2010,27,39
sj,2010,28,42
sj,2010,29,40
sj,2010,30,36
sj,2010,31,51
sj,2010,32,56
sj,2010,33,55
sj,2010,34,56
sj,2010,35,56
sj,2010,36,57
sj,2010,37,54
sj,2010,38,59
sj,2010,39,54
sj,2010,40,57
sj,2010,41,57
sj,2010,42,55
sj,2010,43,65
sj,2010,44,65
sj,2010,45,55
sj,2010,46,52
sj,2010,47,46
sj,2010,48,45
sj,2010,49,44
sj,2010,50,50
sj,2010,51,30
sj,2011,52,24
sj,2011,1,26
sj,2011,2,33
sj,2011,3,31
sj,2011,4,30
sj,2011,5,20
sj,2011,6,25
sj,2011,7,25
sj,2011,8,23
sj,2011,9,16
sj,2011,10,16
sj,2011,11,16
sj,2011,12,12
sj,2011,13,12
sj,2011,14,12
sj,2011,15,11
sj,2011,16,12
sj,2011,17,11
sj,2011,18,17
sj,2011,19,16
sj,2011,20,19
sj,2011,21,21
sj,2011,22,23
sj,2011,23,22
sj,2011,24,32
sj,2011,25,37
sj,2011,26,38
sj,2011,27,36
sj,2011,28,35
sj,2011,29,26
sj,2011,30,40
sj,2011,31,44
sj,2011,32,50
sj,2011,33,51
sj,2011,34,50
sj,2011,35,43
sj,2011,36,49
sj,2011,37,55
sj,2011,38,49
sj,2011,39,56
sj,2011,40,57
sj,2011,41,51
sj,2011,42,59
sj,2011,43,50
sj,2011,44,46
sj,2011,45,54
sj,2011,46,57
sj,2011,47,56
sj,2011,48,55
sj,2011,49,47
sj,2011,50,48
sj,2011,51,25
sj,2012,52,25
sj,2012,1,31
sj,2012,2,28
sj,2012,3,24
sj,2012,4,25
sj,2012,5,20
sj,2012,6,23
sj,2012,7,25
sj,2012,8,23
