city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,9
sj,2008,20,9
sj,2008,21,19
sj,2008,22,14
sj,2008,23,10
sj,2008,24,18
sj,2008,25,23
sj,2008,26,14
sj,2008,27,18
sj,2008,28,18
sj,2008,29,18
sj,2008,30,22
sj,2008,31,23
sj,2008,32,40
sj,2008,33,61
sj,2008,34,38
sj,2008,35,51
sj,2008,36,94
sj,2008,37,62
sj,2008,38,53
sj,2008,39,49
sj,2008,40,58
sj,2008,41,69
sj,2008,42,50
sj,2008,43,48
sj,2008,44,74
sj,2008,45,42
sj,2008,46,54
sj,2008,47,48
sj,2008,48,38
sj,2008,49,38
sj,2008,50,45
sj,2008,51,62
sj,2008,52,17
sj,2009,1,38
sj,2009,2,15
sj,2009,3,31
sj,2009,4,22
sj,2009,5,36
sj,2009,6,13
sj,2009,7,22
sj,2009,8,20
sj,2009,9,20
sj,2009,10,12
sj,2009,11,13
sj,2009,12,11
sj,2009,13,8
sj,2009,14,9
sj,2009,15,12
sj,2009,16,7
sj,2009,17,10
sj,2009,18,14
sj,2009,19,12
sj,2009,20,16
sj,2009,21,13
sj,2009,22,18
sj,2009,23,10
sj,2009,24,15
sj,2009,25,17
sj,2009,26,23
sj,2009,27,30
sj,2009,28,32
sj,2009,29,30
sj,2009,30,43
sj,2009,31,41
sj,2009,32,55
sj,2009,33,34
sj,2009,34,33
sj,2009,35,68
sj,2009,36,69
sj,2009,37,39
sj,2009,38,68
sj,2009,39,47
sj,2009,40,61
sj,2009,41,59
sj,2009,42,56
sj,2009,43,49
sj,2009,44,104
sj,2009,45,171
sj,2009,46,36
sj,2009,47,104
sj,2009,48,42
sj,2009,49,52
sj,2009,50,50
sj,2009,51,37
sj,2009,52,34
sj,2010,53,23
sj,2010,1,45
sj,2010,2,23
sj,2010,3,39
sj,2010,4,30
sj,2010,5,22
sj,2010,6,17
sj,2010,7,21
sj,2010,8,33
sj,2010,9,30
sj,2010,10,20
sj,2010,11,17
sj,2010,12,12
sj,2010,13,30
sj,2010,14,9
sj,2010,15,8
sj,2010,16,10
sj,2010,17,24
sj,2010,18,23
sj,2010,19,14
sj,2010,20,23
sj,2010,21,17
sj,2010,22,68
sj,2010,23,40
sj,2010,24,36
sj,2010,25,50
sj,2010,26,51
sj,2010,27,59
sj,2010,28,58
sj,2010,29,54
sj,2010,30,45
sj,2010,31,50
sj,2010,32,89
sj,2010,33,66
sj,2010,34,81
sj,2010,35,75
sj,2010,36,76
sj,2010,37,74
sj,2010,38,51
sj,2010,39,47
sj,2010,40,52
sj,2010,41,63
sj,2010,42,55
sj,2010,43,150
sj,2010,44,66
sj,2010,45,48
sj,2010,46,41
sj,2010,47,29
sj,2010,48,32
sj,2010,49,38
sj,2010,50,25
sj,2010,51,18
sj,2011,52,29
sj,2011,1,22
sj,2011,2,33
sj,2011,3,29
sj,2011,4,27
sj,2011,5,19
sj,2011,6,19
sj,2011,7,19
sj,2011,8,21
sj,2011,9,9
sj,2011,10,13
sj,2011,11,10
sj,2011,12,9
sj,2011,13,13
sj,2011,14,13
sj,2011,15,11
sj,2011,16,15
sj,2011,17,9
sj,2011,18,12
sj,2011,19,10
sj,2011,20,14
sj,2011,21,11
sj,2011,22,31
sj,2011,23,21
sj,2011,24,53
sj,2011,25,48
sj,2011,26,41
sj,2011,27,62
sj,2011,28,62
sj,2011,29,25
sj,2011,30,57
sj,2011,31,35
sj,2011,32,73
sj,2011,33,42
sj,2011,34,78
sj,2011,35,36
sj,2011,36,44
sj,2011,37,48
sj,2011,38,42
sj,2011,39,43
sj,2011,40,49
sj,2011,41,45
sj,2011,42,83
sj,2011,43,61
sj,2011,44,51
sj,2011,45,40
sj,2011,46,35
sj,2011,47,77
sj,2011,48,48
sj,2011,49,36
sj,2011,50,69
sj,2011,51,22
sj,2012,52,25
sj,2012,1,32
sj,2012,2,23
sj,2012,3,22
sj,2012,4,25
sj,2012,5,20
sj,2012,6,23
sj,2012,7,15
sj,2012,8,22
sj,2012,9,13
sj,2012,10,13
sj,2012,11,17
sj,2012,12,10
sj,2012,13,13
sj,2012,14,9
sj,2012,15,9
sj,2012,16,16
sj,2012,17,9
sj,2012,18,14
sj,2012,19,13
sj,2012,20,16
sj,2012,21,15
sj,2012,22,8
sj,2012,23,16
sj,2012,24,26
sj,2012,25,37
sj,2012,26,32
sj,2012,27,38
sj,2012,28,19
sj,2012,29,29
sj,2012,30,48
sj,2012,31,34
sj,2012,32,38
sj,2012,33,48
sj,2012,34,48
sj,2012,35,32
sj,2012,36,43
sj,2012,37,69
sj,2012,38,65
sj,2012,39,51
sj,2012,40,47
sj,2012,41,60
sj,2012,42,54
sj,2012,43,52
sj,2012,44,53
sj,2012,45,69
sj,2012,46,61
sj,2012,47,53
sj,2012,48,62
sj,2012,49,62
sj,2012,50,57
sj,2012,51,27
sj,2013,1,42
sj,2013,2,24
sj,2013,3,17
sj,2013,4,17
sj,2013,5,30
sj,2013,6,20
sj,2013,7,19
sj,2013,8,14
sj,2013,9,16
sj,2013,10,18
sj,2013,11,17
sj,2013,12,12
sj,2013,13,7
sj,2013,14,9
sj,2013,15,23
sj,2013,16,19
sj,2013,17,12
iq,2010,26,4
iq,2010,27,4
iq,2010,28,6
iq,2010,29,5
iq,2010,30,3
iq,2010,31,4
iq,2010,32,4
iq,2010,33,3
iq,2010,34,3
iq,2010,35,9
iq,2010,36,5
iq,2010,37,6
iq,2010,38,10
iq,2010,39,4
iq,2010,40,3
iq,2010,41,6
iq,2010,42,12
iq,2010,43,9
iq,2010,44,10
iq,2010,45,8
iq,2010,46,9
iq,2010,47,9
iq,2010,48,11
iq,2010,49,12
iq,2010,50,14
iq,2010,51,13
iq,2011,52,14
iq,2011,1,14
iq,2011,2,10
iq,2011,3,8
iq,2011,4,13
iq,2011,5,13
iq,2011,6,13
iq,2011,7,16
iq,2011,8,15
iq,2011,9,15
iq,2011,10,8
iq,2011,11,12
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,8
iq,2011,16,5
iq,2011,17,7
iq,2011,18,6
iq,2011,19,5
iq,2011,20,4
iq,2011,21,3
iq,2011,22,3
iq,2011,23,5
iq,2011,24,4
iq,2011,25,2
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,5
iq,2011,36,4
iq,2011,37,3
iq,2011,38,8
iq,2011,39,21
iq,2011,40,13
iq,2011,41,8
iq,2011,42,15
iq,2011,43,10
iq,2011,44,9
iq,2011,45,13
iq,2011,46,15
iq,2011,47,10
iq,2011,48,11
iq,2011,49,14
iq,2011,50,24
iq,2011,51,11
iq,2012,52,13
iq,2012,1,13
iq,2012,2,10
iq,2012,3,9
iq,2012,4,8
iq,2012,5,9
iq,2012,6,13
iq,2012,7,10
iq,2012,8,15
iq,2012,9,6
iq,2012,10,7
iq,2012,11,6
iq,2012,12,5
iq,2012,13,8
iq,2012,14,4
iq,2012,15,7
iq,2012,16,6
iq,2012,17,6
iq,2012,18,7
iq,2012,19,2
iq,2012,20,5
iq,2012,21,3
iq,2012,22,4
iq,2012,23,3
iq,2012,24,4
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,4
iq,2012,29,5
iq,2012,30,4
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,5
iq,2012,35,3
iq,2012,36,5
iq,2012,37,5
iq,2012,38,5
iq,2012,39,8
iq,2012,40,3
iq,2012,41,14
iq,2012,42,11
iq,2012,43,9
iq,2012,44,12
iq,2012,45,13
iq,2012,46,12
iq,2012,47,26
iq,2012,48,11
iq,2012,49,11
iq,2012,50,10
iq,2012,51,10
iq,2013,1,13
iq,2013,2,18
iq,2013,3,15
iq,2013,4,12
iq,2013,5,13
iq,2013,6,11
iq,2013,7,13
iq,2013,8,11
iq,2013,9,10
iq,2013,10,10
iq,2013,11,9
iq,2013,12,9
iq,2013,13,7
iq,2013,14,8
iq,2013,15,6
iq,2013,16,6
iq,2013,17,7
iq,2013,18,4
iq,2013,19,6
iq,2013,20,6
iq,2013,21,4
iq,2013,22,4
iq,2013,23,3
iq,2013,24,3
iq,2013,25,3
iq,2013,26,4
